epoca,patron,x1,x2,x3,d,y,error,error^2/2,w0,w1,w2,w3
1,1,0.0,0.0,0.0,0.0,0.5118216247002567,-0.5118216247002567,0.13098068775540522,0.48623054346524386,0.9504636963259353,0.14415961271963373,0.9486494471372439
1,2,0.0,0.0,1.0,1.0,1.4348799906024876,-0.4348799906024876,0.09456030311320986,0.46448654393511946,0.9504636963259353,0.14415961271963373,0.9269054476071195
1,3,0.0,1.0,0.0,2.0,0.6086461566547532,1.3913538433452468,0.9679327586957948,0.5340542361023818,0.9504636963259353,0.21372730488689606,0.9269054476071195
1,4,0.0,1.0,1.0,3.0,1.6746869885963973,1.3253130114036027,0.878227289097843,0.6003198866725619,0.9504636963259353,0.2799929554570762,0.9931710981772996
1,5,1.0,0.0,0.0,4.0,1.550783582998497,2.449216417001503,2.99933052865484,0.722780707522637,1.0729245171760105,0.2799929554570762,0.9931710981772996
1,6,1.0,0.0,1.0,5.0,2.7888763228759474,2.2111236771240526,2.4445339577692957,0.8333368913788397,1.183480701032213,0.2799929554570762,1.1037272820335022
1,7,1.0,1.0,0.0,6.0,2.296810547868129,3.703189452131871,6.856806059190374,1.0184963639854332,1.3686401736388065,0.46515242806366974,1.1037272820335022
1,8,1.0,1.0,1.0,7.0,3.956016247721412,3.043983752278588,4.632918542068016,1.1706955515993627,1.520839361252736,0.6173516156775991,1.2559264696474317
2,1,0.0,0.0,0.0,0.0,1.1706955515993627,-1.1706955515993627,0.685264037267268,1.1121607740193946,1.520839361252736,0.6173516156775991,1.2559264696474317
2,2,0.0,0.0,1.0,1.0,2.3680872436668263,-1.3680872436668263,0.9358313531419471,1.0437564118360534,1.520839361252736,0.6173516156775991,1.1875221074640905
2,3,0.0,1.0,0.0,2.0,1.6611080275136525,0.3388919724863475,0.05742388450784366,1.0607010104603707,1.520839361252736,0.6342962143019165,1.1875221074640905
2,4,0.0,1.0,1.0,3.0,2.882519332226378,0.1174806677736222,0.006900853650268097,1.0665750438490518,1.520839361252736,0.6401702476905976,1.1933961408527716
2,5,1.0,0.0,0.0,4.0,2.5874144051017876,1.4125855948982124,0.9976990314569684,1.1372043235939624,1.5914686409976466,0.6401702476905976,1.1933961408527716
2,6,1.0,0.0,1.0,5.0,3.9220691054443804,1.0779308945556196,0.5809675067187392,1.1911008683217434,1.6453651857254277,0.6401702476905976,1.2472926855805526
2,7,1.0,1.0,0.0,6.0,3.476636301737769,2.523363698262231,3.1836821768538215,1.317269053234855,1.7715333706385392,0.7663384326037092,1.2472926855805526
2,8,1.0,1.0,1.0,7.0,5.102433542057656,1.897566457942344,1.8003792311539266,1.4121473761319723,1.8664116935356565,0.8612167555008263,1.34217100847767
