compuerta,hebb: presentaciones,hebb: exactitud,hebb: margen,perceptron: presentaciones,perceptron: exactitud,perceptron: margen
AND,4,1.0,0.7071,8,1.0,0.7071
OR,4,1.0,0.7071,8,1.0,0.7071
