compuerta,epocas,correcciones,convergio,w0,w1,w2,exactitud,margen
AND,2,1,si,-1.0,1.0,1.0,1.0,0.7071067811865475
OR,2,3,si,1.0,1.0,1.0,1.0,0.7071067811865475
