gamma,epocas,estado,ecm_final,error_max_pesos
0.005,400,no converge (limite),0.00534753429560054,0.19748227395361428
0.02,400,no converge (limite),9.933944233485732e-09,0.0002772658791918111
0.05,329,converge,3.373075709812076e-17,1.639464317430465e-08
0.2,81,converge,1.5421027332995002e-18,3.1916610124017668e-09
0.5,41,converge,3.0122216010939403e-19,1.0730107069141577e-09
1.0,18,diverge,inf,1104946.1190070643
