peso,optimo_teorico,minimos_cuadrados,adaline,error_absoluto
w0 (sesgo),0.0,1.570092458683775e-15,1.639464317430465e-08,1.639464317430465e-08
w1 (bit 2),4.0,4.0,3.999999991706279,8.29372082122859e-09
w2 (bit 1),2.0,1.9999999999999996,1.999999991449967,8.550032903897886e-09
w3 (bit 0),1.0,0.9999999999999994,0.9999999913841237,8.615876345707818e-09
