epoca,patron,x1,x2,x3,d,y,error,error^2/2,w0,w1,w2,w3
329,1,0.0,0.0,0.0,0.0,1.7345810528431855e-08,-1.7345810528431855e-08,1.5043857144412868e-16,1.647852000201026e-08,3.9999999912251023,1.9999999909539201,0.9999999908842568
329,2,0.0,0.0,1.0,1.0,1.0000000073627768,-7.362776832664508e-09,2.7105241343810604e-17,1.6110381160377035e-08,3.9999999912251023,1.9999999909539201,0.999999990516118
329,3,0.0,1.0,0.0,2.0,2.000000007064301,-7.064301144055207e-09,2.4952175326949855e-17,1.5757166103174274e-08,3.9999999912251023,1.999999990600705,0.999999990516118
329,4,0.0,1.0,1.0,3.0,2.999999996873989,3.126011005605278e-09,4.885972403582661e-18,1.5913466653454537e-08,3.9999999912251023,1.9999999907570056,0.9999999906724185
329,5,1.0,0.0,0.0,4.0,4.000000007138569,-7.138568847153692e-09,2.5479582592776598e-17,1.5556538211096853e-08,3.999999990868174,1.9999999907570056,0.9999999906724185
329,6,1.0,0.0,1.0,5.0,4.999999997097131,2.9028690562427073e-09,4.213324378845713e-18,1.5701681663908988e-08,3.9999999910133175,1.9999999907570056,0.999999990817562
329,7,1.0,1.0,0.0,6.0,5.999999997472004,2.5279955906398754e-09,3.1953808531473264e-18,1.5828081443440982e-08,3.9999999911397173,1.9999999908834054,0.999999990817562
329,8,1.0,1.0,1.0,7.0,6.999999988668765,1.1331234617273367e-08,6.419843897584715e-17,1.639464317430465e-08,3.999999991706279,1.999999991449967,0.9999999913841237
